object_type,entity_path,reader_path,writer_path,namespaces,reader_relation_types,writer_relation_types,writer_argvs,reader_argvs,priviledged_flow,labels
file,['/var/lib/docker/overlay2/3e383c63e41c4026836ecd58dee1f2fea037cd3db6de39085c77ec801e4dee21-init/diff/etc/resolv.conf'],"['/', '/usr/bin/dockerd']",['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['rename'],[],[],0,0
file,['/var/lib/docker/overlay2/3e383c63e41c4026836ecd58dee1f2fea037cd3db6de39085c77ec801e4dee21-init/diff/etc/hostname'],"['/', '/usr/bin/dockerd']",['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['rename'],[],[],0,0
process_memory,['/usr/bin/dockerd'],"['/bin/mkdir', '/bin/umount', '/bin/bash', '/usr/bin/dockerd', '/bin/cp', '/bin/touch']",['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['memory_read'],"['clone_mem', 'memory_write']",[],[],1,0
process_memory,['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd-udevd'],"[0, 1, 0, 0, 0]",['ptrace_read'],"['clone_mem', 'memory_write']",[],[],0,0
file,"['/systemd/netif/state', '/systemd/netif/.#stateb0LpeI']",['/lib/systemd/systemd-timesyncd'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['open', 'perm_check', 'read', 'getattr']","['rename', 'write']",[],[],0,0
process_memory,['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd-udevd'],"[0, 1, 0, 0, 0]",['ptrace_read'],"['clone_mem', 'memory_write']",[],[],0,0
file,"['/systemd/resolve/resolv.conf', '/systemd/resolve/.#resolv.confxOjbUA']",['/usr/bin/dockerd'],['/lib/systemd/systemd-resolved'],"[0, 1, 0, 0, 0]","['open', 'perm_check', 'read', 'getattr']","['rename', 'write']",[],[],0,0
file,['/var/lib/docker/containers/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56/hosts'],['/'],['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['write'],[],[],0,0
file,['/var/lib/docker/containers/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56/resolv.conf'],['/'],['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['write'],[],[],0,0
file,"['/systemd/netif/state', '/systemd/netif/.#state5Fk5LZ']",['/lib/systemd/systemd-timesyncd'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['open', 'perm_check', 'read', 'getattr']","['rename', 'write']",[],[],0,0
